recno,aggrd0,aggrd1,aggrd2,aggrd3,dep10km,auprgrd,augrd0,augrd1,augrd2,augrd3,augrd4,augrd5,augrd6,augrd7,augrd8,bedlens,comments,autonne,country,cntrycode,crushing,depagegeol,deparea,depcluster,deplen,depthick,depwidth,dikesill,discdate,faultzone,geochem,partsize,heapleach,introck,introckage,latitude,latdeg,latmin,latsec,locacc,longitude,londeg,lonmin,lonsec,depname,openpit,oreunit,orethick,orebreccia,owneroper,prodton,prodyear,aurecovery,rsvopyear,rsvtonop,rsvugyear,rsvtonug,rscopyear,rsctonop,rsctonug,rscugyear,srctongrd,startdate,stprov,status,stockplu,subtype,tect_set,tonnage,undergrd,veinstock
89,,,,0.7,"sediment-hosted Au; quartz-polymetallic vein; high-sulfidation Au (?)",,,,0.21,0.72,,,,,0.72,yes,"The large undeveloped deposit occurs at 120–240 m depth under Miocene post-mineral volcaniclastic rocks of Carlin Fm., Au mineralization traced deep to 350 m. The 1998 uneconomic mineral inventory contains also 0.34 wt. % Cu at 0.1 wt. % Cu cutoff, and 2.13 wt. % Zn at 1 wt. % Zn cutoff (Norby and Orobona, 2000). Two-thirds of total 271 t gold (8.7 million ounces) in oxide ore, flat zones of Cu and Zn enrichment are related to oxidized rocks. Au/Ag=~1/1; intersection of 28 m at 41 g/t Ag reported in West Mike deposit (Norby and Orobona, 2002), approximately calculated average Ag grade is shown. North Mike intrusive stock is inferred by airborne magnetic data in vicinity of the deposit.",271,U.S.A.,USNV,,Eocene,1.5,"Maggie Creek district",1.7,,1.1,yes,1989,yes,"Cd, Cu, Mn, Au, (Zn, Ag, As, Ni)",,,"mafic, intermediate","111–107, K-Ar feldspar",40.81,40,48,36,Accurate,-116.247222222222,-116,-14,-50,Mike,,"Silurian-Lower Devonian Roberts Mts. Fm.; Devonian Popovich Fm. and Rodeo Creek unit",0,yes,"Newmont Gold Co.",,,,,,,,"1998, drill-indicated mineral inventory",376,,,"Norby and Orobona (2000)",,Nevada,inactive,yes,Carlin,"North-American craton, platform at rifted western margin",376,,
90,,,,0,"sediment-hosted Au",5.8,,,0,4.25,,,,,5.69,yes,,5.5,U.S.A.,USNV,yes,Eocene,0.3,"Jerritt Canyon district",0.8,,0.4,,,,"Au, As, Hg, Sb",<4,yes,,,41.3444444444444,41,20,40,Accurate,-116.034444444444,-116,-2,-4,"Mill Creek",yes,"Late Ordovician–Early Silurian Hanson Creek Fm., unit 3",45,,"Yukon-Nevada Gold Corporation",0.9,"n.d., OP",,,,,,"2011, NI 43-101 indicated",0.071,,,"Yukon-Nevada (2008, 2011); production calculated from Mosier and others (1986)",,Nevada,exploration,,Carlin,"North-American craton, platform at rifted western margin",1,,
91,,,,0,"sediment-hosted Au",9.26,,,,,0,9.26,,,9.26,yes,"UG mining. Mineralization confined to New Deep fault zone occurring in both footwall and hanging wall of the fault mostly at base of Roberts Mountains Fm. Orebody width varies from 6 to 90 m, it contains late caverns with stibnite, barite, and quartz druses.",5.6,U.S.A.,USNV,yes,Eocene,1.1,"Jerritt Canyon district",1.8,≤90,0.75,,1990,yes,,<4,,,,41.3930555555556,41,23,35,Accurate,-116.001111111111,-116,0,-4,Murray,,"Silurian-Lower Devonian Roberts Mts. Fm., lower part",100,,"Yukon-Nevada Gold Corp.",0.11,,,,,,,,,0.49,"2011, NI 43-101 measured+indicated+inferred","Yukon-Nevada (2008, 2011); production approximately estimated from SRK Consulting (2008)",1996,Nevada,"mining operations",,Carlin,"North-American craton, platform at rifted western margin",0.6,yes,
92,,,,0,"sediment-hosted Au",1.03,,,0,1.03,,,,,1.03,,"Mined out. According to Nevada Bureau (2008), 2004 resource contained 199,940 oz Au (6.2 tonnes Au). Jory (2002) reported 100,000 oz Au (3.11 tonnes Au) at 1.03 g/t in pre-mine resource.",6.2,U.S.A.,USNV,,Eocene,0.03,"Carlin Trend",0.2,,0.2,yes,,,,,yes,"granodiorite; rhyolite","Jurassic; Eocene",40.9238888888889,40,55,26,Accurate,-116.354166666667,-116,-21,-15,"North Lantern",yes,"Silurian–Lower Devonian Roberts Mts. Fm., lower part",0,,"Newmont Gold Co.",6.04,,70,,,,,2004,6.04,,,"Nevada Bureau (2008), tonnage; Jory (2002), Au grade",,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",6.04,,
93,2.33,7.69,6.02,6.79,"Ag-polymetallic vein; Au epithermal vein; bedded barite",1.06,,,0.3,1.92,2.5,3.3,,,1.85,yes,"The deposit is located in erosional window through Tertiary volcanics. Silver mines of 19th century were nearly all in plutonic rocks. 1939–1942, 1981–1984, and 1985–1991 years of reported OP gold production (Mine Development Associates, 2007). According to OP production data, waste:ore=2.8:1 (Briggs, 2006). Oxidation extends to a depth of >240 m. In the resources, oxide ore:sulfide ore=1:2.2; in the total tonnage, Au:Ag=1:3.7. High silver content is possibly related to superposed epithermal mineralization (VB).",93.8,U.S.A.,USNV,yes,Eocene–Oligocene?,1.02,"Central NV out of main trends",2.6,20,0.5,yes,"1866, Ag; 1936, Au",,"As, Hg, Sb, Ba",≤1,yes,"granodiorite (Mount Gooding pluton); andesite, rhyolite porphyry","151±3, K-Ar; 35.2±0.2 – 26.5±0.7, Ar-Ar, biotite",38.9572222222222,38,57,26,Accurate,-116.848055555556,-116,-50,-53,Northumberland,yes,"Silurian-Lower Devonian Roberts Mts. Fm.; Late Ordovician–Early Silurian Hanson Creek Fm., upper unit",20,yes,"Fronteer Gold Inc. (acquired by Newmont Mining Corp. March, 2011)",6.7,"1939–1991, intermittently","70; 90",,,,,"2008, NI 43-101 measured+indicated+inferred",38.1,5.9,"2008, NI 43-101 indicated+inferred","Fronteer Gold Inc. (2009), Mine Development Associates (2007)",1939,Nevada,"mining operations",yes,Carlin,"North-American craton rifted western margin, imbricate structure",50.7,yes,
94,,,,0,,,,,0.27,0.58,,,,,0.58,yes,"Pre-feasibility study. NE and NW trending post-mineral faults offset mineralization controlled by the longitudinal Pan fault. Free-coarse gold has not been noted in the deposit. Mineralization is open to depth and at flanks under Tertiary volcanics.",21.2,U.S.A.,USNV,yes,,0.9,"Battle Mountain–Eureka Trend",4.5,130,0.25,yes,1978,yes,"Au, Ba",≤1,yes,"quartz monzonite sill",108,39.3002777777778,39,18,1,Approximate,-115.734444444444,-115,-44,-4,Pan,yes,"Late Devonian–Early Mississippian Pilot Shale and Late Devonian Devils Gate Limestone",150,yes,"Midway Gold Corporation",,,,,,,,"2010, NI 43-101 measured+indicated+inferred",36.6,,,"Gustavson (2010); Midway Gold (2011)",,Nevada,exploration,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",36.6,,
95,,,,0,"sediment-hosted Au; Au placer",2.06,,,0,2.06,,,,,2.06,yes,"Mined out. Carlin/Pete/Lantern deposits proven and probable OP reserves of 2005: 1,044,841 oz Au (32.4 t Au) (Nevada Bureau, 2008) (approximately calculated 4.9 Mt of ore at average ~6.6 g/t Au).",31.1,U.S.A.,USNV,,Eocene,0.2,"Carlin Trend",0.7,,0.4,,,,"Au, As, Hg, Sb",,yes,,,40.8997222222222,40,53,59,Accurate,-116.294722222222,-116,-17,-41,Pete,yes,"Silurian-Lower Devonian Roberts Mts. Fm., unit 2; Devonian Rodeo Creek unit, basal 15 m",60,,"Newmont Gold Co.",15.1,,,,,,,pre-mine,15.1,,,"Jory (2002)",,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",15.1,,
96,,,,0,"sediment-hosted Au",,,,0,5.31,,,,,5.31,yes,"Prospective occurrence with the resource estimated to a depth of 60 m (Yukon-Nevada, 2008, 2011).",1.06,U.S.A.,USNV,,Eocene,,"Jerritt Canyon district",0.25,10,0,,,yes,"Au, As, Hg, Sb",<4,yes,,,41.2502777777778,41,15,1,Approximate,-115.949444444444,-115,-56,-58,"Pie Creek",yes,"Late Ordovician–Early Silurian Hanson Creek Fm., unit 3",0,,"Yukon-Nevada Gold Corporation",,,,,,,,"2011, indicated+ inferred",0.2,,,"Yukon-Nevada (2011)",,Nevada,exploration,,Carlin,"North-American craton, platform at rifted western margin",0.2,,
97,,,,0,"skarn polymetallic-Au",0.86,,,0,0.94,,,,,0.88,yes,"The Trout Creek deposit 1988 estimated 1.36 Mt at 1.37 g/t Au; highest intercept of 8 m at 4.94 g/t Au (Jackson and Ruetz, 1991; Nevada Bureau, 2003). According to Magma-Metals (2006), Trout Creek deposit was ultimately mined in 2002–2004 by Newmont Mining Corp. producing 179,000 ounces at 0.025 opt Au from six small pits (5.6 t Au at 0.86 g/t). The Cord Ranch deposit 1994 estimated 10.6 Mt at 1.03 g/t Au (Nevada Bureau, 2003). The South Bullion deposit 1989 estimated 18 Mt at 0.89 g/t Au (Putnam III and Henriques, 1991). Ore-bearing Webb Fm. overlies eroded karstic paleosurface of Devils Gate Limestone. Jasperoid breccia within Webb Fm. exhibits ”textures suggestive of a depositional and sedimentary origin” (Putnam III and Henriques, 1991). Footwall Devils Gate limestone is unsilicified.",32.6,U.S.A.,USNV,,Eocene,,"Carlin Trend",0,40,0,,1987,,"Au, As, Ag, Hg, Sb, Tl, Mo",≤1,yes,,,40.4627777777778,40,27,46,Approximate,-116.004166666667,-116,0,-15,Piñon,yes,"Lower Mississippian Webb Fm.",150,yes,"Newmont Gold Co.",5.6,2002–2004,,,,,,"2002, measured+indicated+inferred",28.6,,,"Magma-Metals (2006); Nevada Bureau (2003), Putnam III and Henriques (1991)",,Nevada,exploration,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",34.2,,
98,,,,0,"sediment-hosted Au",2.3,0,1.32,,,6.86,12.8,,,2.96,yes,"UG development. Waste:ore=5:1. Strong contact metamorphism extends >600 m from the intrusive contact. Au grades are typically declined in metamorphosed rocks. Strong oxidation to 60 m depth. Au positively correlates with Hg.",115,U.S.A.,USNV,yes,"Cretaceous and (or) Tertiary",1.3,"Getchell Trend",2.4,60,0.7,yes,1945,yes,"Au, Hg, As, Sb, Tl, W",≤5,yes,"granodiorite (Osgood Mtn. stock); dacite dikes","92, Ar-Ar; Eocene?",41.1352777777778,41,8,7,Accurate,-117.256944444444,-117,-15,-25,Pinson,yes,"Ordovician Camus Fm.",180,yes,"Pinson Mining Co. (subsidiary of Barrick Gold Corp.) 70%; Atna Resources Ltd. 30%",10.3,1980–2001,"68; 85","2012, NI 43-101, measured+indicated+inferred",24,,,,,4.7,"2012, NI 43-101, measured+indicated+inferred","Briggs (2006); Nevada Bureau (2011)","1949; 1980",Nevada,"mining operations",yes,Carlin,"North-American craton rifted western margin, imbricate structure",39,yes,
99,,,,0,"sediment-hosted Au; Ag-polymetallic veins",1.61,0,1.61,0.34,2.37,,,,,1.69,yes,"Tonnage, grade and gold content approximately calculated from Barrick (2012), Nevada Bureau (2011), Price and others (2011). Gold mineralization is confined to flat shearing zone at intersection of NNW Pipeline and NE high-angle fault systems.",840,U.S.A.,USNV,yes,,2.1,"Battle Mountain–Eureka Trend",3,105,0.9,yes,1991,yes,"Au, As, Sb, Hg, Tl","1 to 2",yes,"quartz monzonite Gold Acres stock, 0.2 km west; quartz porphyry dikes","103.8 (U-Pb); 35",40.2466666666667,40,14,48,Accurate,-116.710277777778,-116,-42,-37,Pipeline,yes,"Silurian-Lower Devonian Roberts Mts. Fm.",760,yes,"Barrick Gold Corp., Cortez Gold Mines",200,1994–2011,,"2011, proven+probable",248,,,"2011, measured+ndicated+inferred",49.3,,,"Barrick (2012); Nevada Bureau (2011)",1994,Nevada,"mining operations",yes,Carlin,"North-American craton rifted western margin, imbricate structure",497.3,,
100,,,,0,,,,,0,1.51,,,,,1.51,yes,"Historic drillhole PC-20 drilled by Newmont Mining Corp. in 1981 intersected 33 m interval at 5.73 g/t (Grandview, 2007).",44.4,U.S.A.,USNV,,Eocene,,"Carlin Trend",0,,0,,1981,,"Au, As, Hg, Sb",,yes,felsic,"Tertiary (?)",40.3497222222222,40,20,59,Approximate,-115.98,-115,-58,-48,"Pony Creek",yes,"basal part of Mississippian Chainman Fm., possibly Webb Fm.",150,,"Grandview Gold Inc. (60%), Mill City Gold Corp. (40%)",,,,,,,,"2004, NI 43-101 inferred",29.4,,,"Grandview Gold (2007); Nevada Bureau (2008)",,Nevada,exploration,yes,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",29.4,,
101,,,,0,,2.29,1.4,2.14,,,,,,,2.14,,"Mined, depleted. Oxidation to 60 m depth.",3.4,U.S.A.,USNV,yes,Eocene?,0.03,"Getchell Trend",0.35,40,0.1,yes,1972,yes,"As, Hg, Sb, Ba","≤2 to >50",yes,dacite,"Tertiary (?)",40.9938888888889,40,59,38,Accurate,-117.392222222222,-117,-23,-32,Preble,yes,"Cambrian Preble Fm.",0,,"Pinson Mining Co. (subsidiary of Barrick Gold Corp.)",1.1,1985–1990,"79; 90",1984,1.6,,,,,,,"Briggs (2006); Nevada Bureau (2009)",1981,Nevada,inactive,,Carlin,"North-American craton rifted western margin, imbricate structure",1.6,,
102,,,,0.65,"sediment-hosted Au",3.63,0.1,1.8,,,,,6.86,11.6,3.46,yes,"22 tonnes Au recovered from OP in 1988–1994; UG mining produced 3.57 tonnes Au between 1994 and 2000 (Longo and others, 2002); and 2.98 tonnes Au and 0.56 tonne Ag from 2000 through 2005 (Nevada Bureau, 2008), silver grade shown above calculated from ratio Au:Ag=5.3. Ore-bearing Webb Fm. overlies eroded karstic paleosurface of Devils Gate Limestone.",93.8,U.S.A.,USNV,yes,"Late Eocene",1.2,"Carlin Trend",3.7,≤70,0.4,yes,1980,yes,"As, Au, Ba",≤1,yes,lamprophyre,"38.89±0.2, Ar-Ar, biotite",40.6138888888889,40,36,50,Accurate,-116.011111111111,-116,0,-40,Rain,yes,"Lower Mississippian Webb Fm.",250,yes,"Newmont Gold Co.",15.2,1988–2005,,"1987 mineable",22.5,4.6,"1999–2001, proven+ probable",,,,,"Longo and others (2002); Nevada Bureau (2008); Williams and others (2000)",1987,Nevada,"mining operations",,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",27.1,yes,
103,,,,0,,,,,0,4.56,,,0,,4.56,yes,"New discovery of 2011 (Barrick Gold Corp., 2012a). Mineralization depth range from 140 m to >670 m. Low angle dikes and sills are tectonized and hydrothermally altered. Mainly refractory mineralization. Mineralization is open on flanks; step-out and infill drilling continued. Ore-hosting Devonian Wenban Limestone of RMT lower plate is overriden by mudstone, siltstone of Ordovician Vinini Fm., upper plate.",217,U.S.A.,USNV,,,2.3,"Battle Mountain–Eureka Trend",4.2,,0.8,yes,2011,,"As, Sb, Hg, Ta",,,"intermediate to mafic",Mesozoic?,40.1461111111111,40,8,46,Approximate,-116.536666666667,-116,-32,-12,"Red Hill/Goldrush",yes,"Devonian Wenban Limestone; Ordovician Vinini Fm.",200,yes,"Barrick Gold Corp.",,,,,,,,"2011; indicated+inferred",47.6,,,"Barrick Gold Corp. (2012a)",,Nevada,exploration,,Carlin,"South China craton, platform at rifted southern margin",47.6,,
104,,,,0,"sediment-hosted Au, bedded barite",1.5,,,,,5,10.8,,,10.75,yes,"UG feasibility study. OP production of oxide ore. The main JB mineralized zone extends inside Popovich Fm. from 700 to 960 m below surface. Fragments of lamprophyre are in lower silica breccia (Spalding and others, 2005). In second stage mineralization, Ag grades reach 200 g/t, and ≥1% Sb (Albino, 1994).",61.6,U.S.A.,USNV,yes,Eocene,0.7,"Carlin Trend",1.5,25,0.6,yes,1982,yes,"As, Au, Hg, Sb, Tl",,yes,"lamprophyre, monzonite","153.9±0.9, Ar-Ar, biotite",41.0261111111111,41,1,34,Accurate,-116.385277777778,-116,-23,-7,REN,yes,"Devonian Popovich Fm. and Rodeo Creek unit",120,yes,"Rye Patch (64%); Centerra Gold Inc.",0.03,"n.d., OP",,,,,,,,5.7,"2010, NI 43-101 indicated+inferred","Spalding and others (2005); TSX GOLD (2010)",,Nevada,exploration,,Carlin,"North-American craton, platform at rifted western margin",5.73,yes,
105,,,,0,"sediment-hosted Au",8,,,,,4.3,7.41,0,5.9,7.47,yes,"Drilling within structural extension of ore zones estimated in 2010 along known resource trends (Kuam News, 2010). Prospective of UG resource obviously increases. Intersections of drillhole SMI-LX-757, 168 m total depth, 01/25/2011: 17.4 m at 7.68 g/t Au; 29.3 m at 16.18 g/t Au; 3.9 m at 4.97 g/t Au; 14.9 m 26.3 g/t Au (Infomine, 2011).",59,U.S.A.,USNV,yes,Eocene,1.7,"Jerritt Canyon district",1.6,30,1.35,yes,1990,yes,"Au, As, Hg, Sb",<4,,"andesite, andesitic basalt","320, K-Ar",41.3636111111111,41,21,49,Accurate,-115.9325,-115,-55,-57,Smith,yes,"Silurian–Lower Devonian Roberts Mts. Fm., lower part; Late Ordovician–Early Silurian Hanson Creek Fm., unit 2 and 3",0,,"Yukon-Nevada Gold Corp.",0.8,"n.d., UG",,,,1.48,"2011, NI 43-101 proven+ probable",,,6.8,"2011, NI 43-101 measured+indicated+inferred","Yukon-Nevada, (2011); production estimated from SRK Consulting (2008)","1996 OP, 2005 UG",Nevada,"mining operations",,Carlin,"North-American craton, platform at rifted western margin",7.6,yes,
106,,,,0,"sediment-hosted Au",0.65,,,0,0.65,,,,,0.65,yes,"Mined out. Ore-bearing Webb Fm. overlies eroded karstic paleosurface of Devils Gate Limestone.",0.94,U.S.A.,USNV,,Eocene,0.03,"Carlin Trend",0.23,30,0.15,,1983,,"As, Au, Ba",≤1,yes,,,40.6033333333333,40,36,12,Accurate,-116.010555555556,-116,0,-38,SMZ,yes,"Lower Mississippian Webb Fm.",200,,"Newmont Gold Co.",1.45,,,,,,,"1989, geologic",1.45,,,"Thoreson (1991); Longo and others (2002); McFarlane (1991); Nevada Bureau (2008)",1994,Nevada,inactive,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",1.45,,
107,,,,0,"sediment-hosted Au, bedded barite",,0,1.71,0,1.34,,,,,1.55,yes,"Feasibility study. 300 m south of the Dee mine. Open pit reserve and resource >48.36 t Au (Barrick Gold Corp., 2009). Mineralization occurs beneath 250 m of dump material and post-mineral Tertiary Carlin Fm. Prevailing Oxide mineralization extends to depth >610 m, amenable to OP mining. Best intercepts of 2006: 258 m at 4.04 g/t; 205 m at 5.11 g/t (Price and others, 2007). Mineralized sedimentary (?) breccia along upper contact of Bootstrap Limestone is ≥30 m thick.",117,U.S.A.,USNV,,Eocene,0.14,"Carlin Trend",0.6,76,0.3,yes,2005,yes,,,yes,"basalt; lamprophyre","157.2–143; 37.6 , Ar-Ar, biotite, sericite",41.0297222222222,41,1,47,Approximate,-116.4225,-116,-25,-21,"South Arturo",yes,"Silurian-Lower Devonian Bootstrap Limestone",0,yes,"Barrick Gold Corp. (60%), Goldcorp Inc. (40%)",,,,"2011, proven+ probable",42.7,,,"2011, measured+indicated+inferred",32.5,,,"Barrick (2012)",,Nevada,exploration,,Carlin,"North-American craton, platform at rifted western margin",75.2,,
108,,,,0,"sediment-hosted Au",1.37,,,0,1.37,,,,,1.37,,"Mined out. Carlin/Pete/Lantern deposits proven and probable OP reserves of 2005: 1,044,841 oz Au (32.4 t Au) (Nevada Bureau, 2008) (approximately calculated 4.9 Mt of ore at average ~6.6 g/t Au).",6.2,U.S.A.,USNV,,Eocene,0.16,"Carlin Trend",0.5,,0.4,yes,1993,yes,,,yes,"granodiorite; rhyolite","Jurassic; Eocene",40.9202777777778,40,55,13,Accurate,-116.359166666667,-116,-21,-33,"South Lantern",yes,"Silurian–Lower Devonian Roberts Mts. Fm., lower part",0,,"Newmont Gold Co.",4.54,,70,,,,,"1996, pre-mine",4.54,,,"Jory (2002)",,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",4.54,no,
109,,,,0,"sediment-hosted Au",8.1,,,,,4.3,7.58,0,6.62,7.76,yes,"Main gold concentration in SSX deposit confined to local depression (so called “SB graben”) where main ore-bearing unit 3, Hanson Creek Fm., is much thicker than anywhere else in SSX area (McMillan, 2005).",57.4,U.S.A.,USNV,yes,Eocene,2.5,"Jerritt Canyon district",2.7,,1.2,yes,1973,yes,"Au, As, Hg, Sb",<4,,basalt,"320, K-Ar",41.3591666666667,41,21,33,Accurate,-115.988055555556,-115,-59,-17,SSX/Steer/Saval,,"Late Ordovician–Early Silurian Hanson Creek Fm.",230,yes,"Yukon-Nevada Gold Corp.",2.5,"after 1997",,,,1.25,"2011, NI 43-101 proven+ probable",,,4.9,"2011, NI 43-101 measured+indicated+inferred","Nevada Bureau (2008); Yukon-Nevada (2011); also UG production approximately estimated from SRK Consulting (2008)","1981; 1997",Nevada,"mining operations",,Carlin,"North-American craton, platform at rifted western margin",7.4,yes,
110,,,,0,"sediment-hosted Au",,,,,,4.3,9.67,0,9.05,9.67,yes,"Open on NE and SW flanks.",6.7,U.S.A.,USNV,yes,Eocene,0.1,"Jerritt Canyon district",0.5,60,0.2,,,yes,"Au, As, Hg, Sb",<4,,,,41.2613888888889,41,15,41,Approximate,-116.021666666667,-116,-1,-18,"Starvation Canyon",,"Late Ordovician–Early Silurian Hanson Creek Fm., unit 3 and 2",75,,"Yukon-Nevada Gold Corporation",,,,,,0.33,"2011, NI 43-101 proven+ probable",,,0.69,"2011, NI 43-101 measured+indicated+inferred","Yukon-Nevada (2011)",,Nevada,exploration,,Carlin,"North-American craton, platform at rifted western margin",0.69,yes,
111,7,,,7,"sediment-hosted Au, bedded barite",12.8,,,,,6.86,12.8,,,12.8,yes,"UG mining. Mineralization at 244 m below surface, extends >50 m downdip at 45º W. Ag:Au ~2:1, silver grades may reach ≤40 g/t Ag (Dobak and others, 2002). According to Trotman (2009), Carlin-type mineralization is overprinted by younger (Miocene?) epithermal silver veins; some silicification temporally and spatially overlaps gold.",3.8,U.S.A.,USNV,yes,Eocene,0.16,"Carlin Trend",0.7,18,0.3,yes,1996,yes,"Ag, Au, Ba, Hg, Sb, Zn, Cu",<4,,lamprophyre,"157.2–143, Ar-Ar, biotite, sericite",41.0425,41,2,33,Accurate,-116.426666666667,-116,-25,-36,Storm,,"Silurian-Lower Devonian Bootstrap Limestone",600,yes,"Barrick Gold Corp. (60%), Goldcorp (40%)",0.46,2008–2010,,,,,,,,2.8,"1998, pre-mining","Barrick (2010); Nevada Bureau (2011); Dobak and others (2002);",2006,Nevada,"mining operations",,Carlin,"North-American craton, platform at rifted western margin",2.8,yes,
112,0.49,,,0.49,"sediment-hosted Au; Ag-Pb-Zn replacement",1.51,,,0,1.35,,,,,1.35,yes,"Mined 1985–1990, waste:ore=2.5:1; Au:Ag=3.1 (Briggs, 2006). The deposit consists of oxidized ore, 25%, and refractory sulfide ore, 75 %. Realgar and orpiment are closely associated with gold (SRK Consulting, 2007). Complex tectonic slices with related low-angle structures are crossed by NNW-striking east-dipping faults define dominate structural control of gold mineralization.",56,U.S.A.,USNV,yes,Tertiary?,4.5,"Battle Mountain–Eureka Trend",4.8,60,1.2,yes,1981,yes,"Au, As, Sb, Hg",≤1,yes,"intermediate sill; andesite porphyry, rhyolite tuff flows","Mesozoic?; 37.5–33.4",39.9077777777778,39,54,28,Approximate,-116.431111111111,-116,-25,-52,"Tonkin Springs",yes,"Devonian Devils Gate Fm.; Ordovician Vinini Fm.; intrusive sills",100,,"BacTech Mining Corp. 55%; US Gold Corp. 45%",0.79,1985–1990,,,,,,"2008, NI 43-101 measured+indicated+inferred",40.7,,,"Briggs (2006); Nevada Bureau (2009)",1985,Nevada,exploration,,Carlin,"North-American craton rifted western margin, imbricate structure",41.5,,
113,,,,0,"sediment-hosted Au",,,,,,6.86,14.9,,,14.9,yes,"The resource based on 13 core holes (Mohling, 2002; Teal and Jackson, 1997). The deposit exposed at depth of 540–780 m. ~50% Au resource is confined to fault-controlled zone.",42.9,U.S.A.,USNV,yes,Eocene,0.2,"Carlin Trend",1.1,23,0.4,yes,1994,yes,,≤1,,"granodiorite, quartz diorite (Little Boulder Basin stock and Vivian sill); lamprophyre, monzonite dikes",Jurassic,40.94,40,56,24,Approximate,-116.329444444444,-116,-19,-46,Turf,,"Silurian–Lower Devonian Roberts Mts. Fm.; Devonian Popovich Fm.",160,yes,"Newmont Gold Co.",,,,,,,,,,2.9,"1997, geologic","Mohling (2002); Teal and Jackson (1997)",,Nevada,"mining operations",yes,Carlin,"North-American craton, platform at rifted western margin",2.9,yes,
114,,,,0,"sediment-hosted Au; oxide Cu (Copper King)",2.1,0,2.12,0,2.02,,,,,2.02,,"Mined out, oxide ore production ceased in 1999 giving totally 27.6 t Au (Harlan and others, 2002). Waste:ore =7:1. Three geochemical associations: 1) Au+As+Sb±Ag; 2) Cu+Bi+Mo+Se+Cd; and 3) Te+Tl+Zn (Doyle-Kunkel, 1993). Au is hosted by carbonate (85%) and siliceous (15%) rocks.",28.5,U.S.A.,USNV,,Eocene,0.4,"Maggie Creek district",0.9,,0.6,,1985,yes,"Au, As, Sb, (Ag, Hg, Pb, Zn, Cu, Ni)",<1,yes,,,40.8030555555556,40,48,11,Accurate,-116.236111111111,-116,-14,-10,Tusc,yes,"Silurian-Lower Devonian Roberts Mts. Fm.; Devonian Rodeo Creek unit",800,yes,"Newmont Gold Co.",13.1,,,"1992, proven+probable",12.2,,,1991,14.1,,,"Doyle-Kunkel (1993); Ekburg (1991); Harlan and others (2002)",1994,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",14.1,,
115,0.42,,,0.42,"sediment-hosted Au",2.67,0.34,2.67,0.34,1.44,,,,,2.36,yes,"Waste:ore=8:1. Production 1990–2004 contained approximately 68 percent of oxide (heap leach) ore and 32 percent of refractory mill ore (Briggs, 2006). Reserve and resource were last estimated using 1.7 g/t Au cutoff grade for refractory ore. The deposit pre-mine reserves were previously evaluated as ~500 t Au (>16 Moz) (Breit and others , 2005). Au:Ag=4:1. Gold and silver production of 2011 approximately estimated. Visible (native) gold was observed in the late-stage quartz-adularia veins (Hall and others, 2000). 80% gold recovery indicates average gold extraction.",484,U.S.A.,USNV,yes,Eocene,3,"Getchell Trend",4,,1,yes,1984,yes,"Au, As, Sb, Hg",≤1,yes,"dacite porphyry",92.1±2.1,41.2458333333333,41,14,45,Accurate,-117.171388888889,-117,-10,-17,"Twin Creeks",yes,"Pennsylvanian–Permian Etchart Fm.; Ordovician Valmy Fm. and Comus Fm.",3000,,"Newmont Gold Corporation",124,1990–2010,80,"2011, proven+probable",43.8,,,"2011, measured+indicated+inferred",55.9,,,"Newmont (2012); Nevada Bureau (2011); Briggs (2006)",1989,Nevada,"mining operations",,Carlin,"North-American craton rifted western margin, imbricate structure",223.4,,
116,,,,,"sediment-hosted Au",,,,,,,,,,,,"Prospective occurrence with inferred resource of 0.034 Mt at 7.06 g/t Au (Yukon-Nevada, 2011).",,U.S.A.,USNV,,Eocene?,0.6,"Jerritt Canyon district",1.1,,0.7,,,,,,,,,41.2522222222222,41,15,8,Approximate,-116.013888888889,-116,0,-50,"Water Pipe",,"Late Ordovician–Early Silurian Hanson Creek Fm., unit 3",0,,"Yukon-Nevada Gold Corporation",,,,,,,,,,,,"prospect, small current resource",,Nevada,exploration,,Carlin,"North-American craton, platform at rifted western margin",,,
